Dato;År;Kommune;Stedfesting;Art;Kjønn;Alder;Årsak;Utfall;Merkelappnummer;Fallvilt-ID;UTM33 øst;UTM33 nord;vegsystemreferanse.kortform;vegkategori;fase;vegnr;strekning;delstrekning;arm;adskilte_løp;trafikantgruppe;retning;meter;veglenkesekvensid;relativPosisjon;veglenkesekvens.kortform;geometri.wkt;geometri.srid;kommune (treff);avstand_vegnettet_m;Vegobjekt_540_id;ÅDT, total;Vegobjekt_105_id;Fartsgrense;Vegobjekt_540_lengde
25.01.2026;2026;5037 Levanger;Holte, ronglan;Rådyr;Hunn;Voksent dyr;Påkjørt av motorkjøretøy;Dødt på stedet;;1332920;308114,2538;7067114,226;EV6 S84D1 m1347;E;V;6;84;1;False;Nei;K;MED;1347.195;1742829;0.58901451;0.58901451@1742829;POINT Z (308114.421 7067113.723 43.308);5973;5037;0.53;1022805904;8480;905755262;90;3884.691
25.01.2026;2026;5006 Steinkjer;4- Dalsaunet;Elg;Ukjent;Ukjent;Påkjørt av motorkjøretøy;Ettersøk avsluttet - ikke funnet;;1333044;334528,2486;7111886,183;FV6978 S1D1 m2924;F;V;6978;1;1;False;Nei;K;MED;2924.258;578405;0.56995833;0.56995833@578405;POINT Z (334528.214 7111886.146 30.718);5973;5006;0.05;1024046774;500;173071190;80;5130.996
25.01.2026;2026;5041 Snåsa;Brennmyra;Rådyr;Hann;Ungdyr;Påkjørt av motorkjøretøy;Dødt på stedet;;1332805;369108,2489;7124790,689;FV763 S6D1 m4596;F;V;763;6;1;False;Nei;K;MED;4596.323;578667;0.18042797;0.18042797@578667;POINT Z (369101.133 7124791.924 66.068);5973;5041;7.222;1024045938;550;86975634;80;7497.874
25.01.2026;2026;5037 Levanger;Holsandlia, skogn;Rådyr;Ukjent;Ukjent;Påkjørt av motorkjøretøy;Avlivet på stedet;;1332793;312555,9042;7070857,149;EV6 S84D1 m7816;E;V;6;84;1;False;Nei;K;MED;7816.051;578597;0.54087955;0.54087955@578597;POINT Z (312559.029 7070848.595 26.513);5973;5037;9.107;1022805368;11800;287666269;80;1735.755
25.01.2026;2026;5056 Hitra;Barman;Rådyr;Hunn;Ungdyr;Påkjørt av motorkjøretøy;Dødt på stedet;;1332766;194839,4636;7070889,314;FV714 S11D1 m219;F;V;714;11;1;False;Nei;K;MED;219.113;3651136;0.34900699;0.34900699@3651136;POINT Z (194843.791 7070895.619 31.726);5973;5056;7.647;1024046398;2080;1018198273;80;5404.362
25.01.2026;2026;5037 Levanger;Jønnvik;Rådyr;Hann;Voksent dyr;Påkjørt av motorkjøretøy;Dødt på stedet;;1332787;306248,7342;7079234,732;FV6890 S2D1 m3134;F;V;6890;2;1;False;Nei;K;MED;3134.409;578334;0.35215505;0.35215505@578334;POINT Z (306243.962 7079238.548 60.742);5973;5037;6.11;1024046009;550;86973272;80;6225.395
24.01.2026;2026;5028 Melhus;Jaktøyen;Rådyr;Hunn;Voksent dyr;Påkjørt av motorkjøretøy;Avlivet på stedet;;1332727;263855,7178;7027684,112;EV6 S72D1 m7242;E;V;6;72;1;False;Nei;K;MED;7241.625;72153;0.39102132;0.39102132@72153;POINT Z (263853.681 7027685.023 13.141);5973;5028;2.231;1022805893;16500;1015770884;90;946.617
24.01.2026;2026;5037 Levanger;Rabben;Rådyr;Hann;Voksent dyr;Påkjørt av motorkjøretøy;Dødt på stedet;;1332741;305684,293;7077884,819;FV6890 S2D1 m1533;F;V;6890;2;1;False;Nei;K;MED;1532.948;578334;0.08601504;0.08601504@578334;POINT Z (305682.978 7077886.006 43.822);5973;5037;1.772;1024046009;550;131494738;60;6225.395
24.01.2026;2026;5028 Melhus;Fremovegen Ler;Rådyr;Hunn;Ukjent;Påkjørt av motorkjøretøy;Ettersøk avsluttet - ikke funnet;;1332767;265956,3511;7016322,997;FV6594 S1D1 m2584;F;V;6594;1;1;False;Nei;K;MED;2583.545;72875;0.25926601;0.25926601@72875;POINT Z (265956.624 7016322.71 76.823);5973;5028;0.395;1024045869;703;85311985;50;10534.466
24.01.2026;2026;5053 Inderøy;Kjerringvik;Rådyr;Hann;Kalv/årsunge;Påkjørt av motorkjøretøy;Dødt på stedet;;1332722;306654,1012;7085045,68;FV6918 S1D1 m105;F;V;6918;1;1;False;Nei;K;MED;104.71;578357;0.01066284;0.01066284@578357;POINT Z (306648.619 7085047.854 19.213);5973;5053;5.898;1024046955;300;173087350;80;8196.302
24.01.2026;2026;5057 Ørland;grandeveien, Brekstad;Rådyr;Hunn;Voksent dyr;Påkjørt av motorkjøretøy;Dødt på stedet;;1332699;233274,8562;7072817;FV6400 S1D1 m3195;F;V;6400;1;1;False;Nei;K;MED;3195.473;72472;0.31102661;0.31102661@72472;POINT Z (233274.562 7072817.892 7.695);5973;5057;0.94;1024045796;1100;85311887;80;1187.0
23.01.2026;2026;5060 Nærøysund;Sandnesaunet;Rådyr;Hunn;Voksent dyr;Påkjørt av motorkjøretøy;Avlivet på stedet;;1332779;328827,2992;7196452,872;FV770 S6D1 m4304;F;V;770;6;1;False;Nei;K;MED;4303.74;578682;0.56068001;0.56068001@578682;POINT Z (328825.319 7196463.451 37.852);5973;5060;10.763;1024046011;2300;1015470503;80;7349.897
23.01.2026;2026;5054 Indre Fosen;Råkvågveien;Oter;Ukjent;Ukjent;Påkjørt av motorkjøretøy;Dødt på stedet;;1332656;259481,7986;7078630,958;FV6362 S1D1 m704;F;V;6362;1;1;False;Nei;K;MED;703.769;72443;0.11205559;0.11205559@72443;POINT Z (259480.516 7078635.931 3.49);5973;5054;5.136;1024046653;280;85311385;50;3714.52
23.01.2026;2026;5022 Rennebu;Berkåk;Rådyr;Hunn;Ungdyr;Påkjørt av motorkjøretøy;Observert – antatt uskadd;;1332655;245483,6947;6976365,362;FV700 S7D1 m6974;F;V;700;7;1;False;Nei;K;MED;6973.793;72296;0.94342716;0.94342716@72296;POINT Z (245485.622 6976354.034 411.187);5973;5022;11.491;1024046253;1440;85310298;50;3249.87
23.01.2026;2026;5001 Trondheim;Nygården/Brøttemsvegen;Rådyr;Ukjent;Ukjent;Påkjørt av motorkjøretøy;Ettersøk avsluttet - ikke funnet;;1332645;271472,9806;7023883,249;FV704 S3D1 m1291;F;V;704;3;1;False;Nei;K;MED;1291.184;72300;0.02610063;0.02610063@72300;POINT Z (271473.953 7023880.894 152.825);5973;5001;2.548;1024046089;1700;85312317;80;2609.554
23.01.2026;2026;5059 Orkland;Jerpstad Meldal ;Rådyr;Hann;Voksent dyr;Påkjørt av motorkjøretøy;Avlivet på stedet;;1332605;233937,8809;6995154,631;KV7008 S1D1 m180;K;V;7008;1;1;False;Nei;K;MED;179.843;44022;0.14730837;0.14730837@44022;POINT Z (233937.2 6995154.631 162.135);5973;5059;0.681;1013123325;200;85287389;30;360.0
23.01.2026;2026;5054 Indre Fosen;Hasselvikveien;Rådyr;Hann;Kalv/årsunge;Påkjørt av motorkjøretøy;Avlivet på stedet;;1332637;245811,9421;7061280,948;FV718 S1D1 m8279;F;V;718;1;1;False;Nei;K;MED;8278.541;72382;0.56234718;0.56234718@72382;POINT Z (245811.864 7061283.873 14.943);5973;5054;2.926;1024045535;836;85311487;80;9080.333
22.01.2026;2026;5056 Hitra;Skjevika;Rådyr;Hann;Voksent dyr;Påkjørt av motorkjøretøy;Avlivet etter ettersøk;;1332764;210219,5944;7059764,119;FV6440 S1D1 m4502;F;V;6440;1;1;False;Nei;K;MED;4502.186;72510;0.45213277;0.45213277@72510;POINT Z (210219.69 7059763.822 7.525);5973;5056;0.312;1024045611;800;85311185;60;4754.185
