Vegobjekt_540_id,Art,"ÅDT, total_avg",Vegobjekt_540_lengde_avg,UTM_nord_int_avg,UTM33_øst_int_avg,antall_kollisjoner,frekvens
1024046631.0,Rådyr,700,17819,7145935,316086,5,1.0982362435751806e-09
1024045964.0,Rådyr,697,28148,7060297,274322,36,5.027236492043866e-09
1024045835.0,Rådyr,550,3892,7084242,305642,3,3.839660881150977e-09
1024046131.0,Rådyr,1500,4662,7052227,248463,17,6.660280632883372e-09
1024046157.0,Rådyr,1700,8092,7059660,296889,6,1.1949606121066239e-09
1024046542.0,Hjort,2230,10163,6995939,265625,3,3.6266162370366526e-10
1022805738.0,Hjort,1700,13680,7019849,178095,13,1.5314945973582896e-09
1024047170.0,Rådyr,2100,2529,7059189,302724,3,1.5476055060708696e-09
1022805428.0,Rådyr,2100,5896,7115016,335016,5,1.1063699470978147e-09
1024045805.0,Rådyr,600,9828,7035604,205065,6,2.787674020550733e-09
1024046459.0,Rådyr,2200,2804,7095062,319503,6,2.664757515948574e-09
1022805607.0,Rådyr,3000,6052,7041304,314148,3,4.526976251482585e-10
1022805567.0,Rådyr,2700,8321,7146720,370993,3,3.6583824425446464e-10
1024046640.0,Rådyr,1800,6784,6998593,232704,10,2.243617357341834e-09
1024045834.0,Hjort,2300,7883,7063707,202161,5,7.555405488412765e-10
1022805754.0,Rådyr,4400,13248,6957040,235446,21,9.870142761744906e-10
1024045823.0,Rådyr,1000,920,7068705,284028,3,8.933889219773675e-09
1024045635.0,Hjort,500,60514,7056152,198368,10,9.054850207876724e-10
1024046144.0,Rådyr,700,3478,6986437,234925,3,3.375987054214976e-09
1024046670.0,Rådyr,355,18427,7074451,252207,8,3.3505348045126804e-09
1022805551.0,Rådyr,8400,5216,7063637,306221,3,1.8759079394426902e-10
1024045655.0,Rådyr,1580,4049,7056268,248255,12,5.139057984119711e-09
1024046011.0,Rådyr,2300,7350,7196539,330304,19,3.079254334253058e-09
1024046755.0,Rådyr,2190,2792,7061366,251395,4,1.7922871788915886e-09
1024046011.0,Elg,2300,7350,7196702,331799,3,4.861980527767986e-10
1022805624.0,Elg,9600,7748,7056763,301897,3,1.1050134016025347e-10
1024045666.0,Rådyr,2160,6340,7054132,260439,7,1.4004324535416537e-09
1024046005.0,Hjort,700,16632,7010224,308584,3,7.05969394814796e-10
1024045639.0,Rådyr,770,24849,7204855,354190,7,1.0023180107475553e-09
1024046282.0,Elg,1330,8438,7199268,341606,3,7.32381268606909e-10
1024045703.0,Elg,418,55635,7150443,409916,6,7.068609853433611e-10
1024046117.0,Rådyr,1600,6830,7086395,309131,4,1.0028279748891875e-09
1024045906.0,Rådyr,400,16391,7083438,237023,9,3.760834336918941e-09
1024046287.0,Rådyr,700,1939,7058157,298047,3,6.05553531436807e-09
1024046468.0,Rådyr,411,27522,7180048,332088,7,1.6954436620383695e-09
1024046086.0,Rådyr,2960,2858,7153932,348900,7,2.2669985379802572e-09
1022805677.0,Rådyr,3590,8567,6949350,225556,9,8.017268519376952e-10
1024047173.0,Rådyr,2350,1726,7155167,330969,3,2.02637461655082e-09
1022805676.0,Elg,1820,11103,7171010,387194,3,4.0673979224463543e-10
1022805870.0,Elg,2500,7382,7164406,382533,6,8.907264245127912e-10
1024045598.0,Elg,2600,2200,7157560,330535,3,1.4369192451384232e-09
1022805916.0,Rådyr,1660,9285,7021996,192469,8,1.422024655596738e-09
1024045820.0,Rådyr,550,7275,7078431,308340,6,4.108305195722227e-09
1024046063.0,Rådyr,2300,4075,7021297,303402,5,1.4615769684701309e-09
1022805828.0,Hjort,3400,5232,7040628,311759,4,6.160564011956423e-10
1022805435.0,Elg,2410,12050,7140946,371450,4,3.7736623369394606e-10
1024045981.0,Rådyr,766,8393,6992980,234839,5,2.1307433766896854e-09
1022805621.0,Rådyr,4980,4610,6954228,231548,3,3.5801244379652146e-10
1024046392.0,Rådyr,4130,3702,7078932,239225,15,2.687892704483991e-09
1024046464.0,Elg,1100,22933,7185346,374621,3,3.258178203776131e-10
1024045598.0,Rådyr,2600,2200,7156230,330738,4,1.915892326851231e-09
1024046392.0,Elg,4130,3702,7079168,239631,3,5.375785408967982e-10
1024046686.0,Rådyr,500,4230,7025315,250146,4,5.181514945432171e-09
1024045683.0,Rådyr,435,9478,7156441,303453,12,7.974113634907001e-09
1022805388.0,Rådyr,2600,31163,7122488,352494,14,4.733937976688534e-10
1024046090.0,Rådyr,600,6554,7096056,316118,5,3.4835291773436835e-09
1024046693.0,Rådyr,718,9919,7102714,270829,6,2.3081607489163e-09
1024045591.0,Rådyr,927,3323,7065752,256256,3,2.6681996007012616e-09
1024045881.0,Rådyr,1200,11864,7153593,359329,3,5.773192067172245e-10
1024045668.0,Rådyr,2100,5019,7091795,318732,3,7.798155658205278e-10
1024046316.0,Rådyr,1900,2416,7033420,265404,3,1.7905145700138943e-09
1024045527.0,Rådyr,1970,8511,7033478,243108,4,6.536124412056205e-10
1024046721.0,Rådyr,700,4822,7192240,328312,4,3.246697905311679e-09
1024046396.0,Rådyr,1380,12040,6979648,306289,6,9.893565027434856e-10
1024046741.0,Rådyr,621,4229,7024995,272718,5,5.2161233690792705e-09
1024045637.0,Rådyr,1000,10607,7105227,324727,9,2.324647331627731e-09
1024046742.0,Rådyr,649,3554,7075975,242043,4,4.7512185361094215e-09
1024045886.0,Rådyr,1300,6690,7051158,254743,6,1.8901179906155643e-09
1024045960.0,Rådyr,500,2354,7062042,293215,4,9.310878597781683e-09
1024045895.0,Hjort,1490,19621,7043918,246661,9,8.434167831608765e-10
1022805904.0,Rådyr,8480,3885,7067000,307929,6,4.98966640088377e-10
1024046396.0,Elg,1380,12040,6976709,307311,3,4.946782513717428e-10
1022805470.0,Rådyr,7070,4799,7043464,300184,10,8.07489663657905e-10
1024045877.0,Rådyr,1800,5465,7034613,260385,12,3.3421482493409703e-09
1022805388.0,Elg,2600,31163,7121617,350450,9,3.043245842156915e-10
1024045831.0,Elg,612,24096,6945301,330939,4,7.431401917919987e-10
1022805706.0,Hjort,2450,21968,7022762,201690,10,5.090383837339024e-10
1024045530.0,Rådyr,1300,30272,6986471,294018,6,4.177090828890765e-10
1024046114.0,Rådyr,735,13592,7105190,314952,10,2.74243555372434e-09
1024046188.0,Rådyr,1000,2156,7061534,253302,5,6.353724553333164e-09
1024045652.0,Rådyr,349,14238,7157803,298265,17,9.37306527182664e-09
1024046005.0,Rådyr,700,16632,7010099,308107,3,7.05969394814796e-10
1024045895.0,Rådyr,1490,19621,7047760,245124,8,7.497038072541125e-10
1024046401.0,Rådyr,2800,2723,7112625,322659,5,1.79668303564691e-09
1024046982.0,Rådyr,5440,3137,7024576,237765,3,4.816315983207882e-10
1024046048.0,Rådyr,2400,6122,7038157,258477,3,5.594017533888559e-10
1024046726.0,Rådyr,920,12989,7156830,325168,9,2.0634127076234525e-09
1024045551.0,Elg,877,20271,7201084,373516,5,7.705527467122824e-10
1024045881.0,Elg,1200,11864,7152910,358762,3,5.773192067172245e-10
1024046452.0,Rådyr,1100,6085,7109085,337581,6,2.455868553728776e-09
