Vegobjekt_540_id,Art,"ÅDT, total",Vegobjekt_540_lengde,antall_kollisjoner,frekvens
1024046005.0,Elg,700.0,16631.599,3,1.1024061852336366e-05
1024046005.0,Rådyr,700.0,16631.599,3,1.1024061852336366e-05
1022805706.0,Hjort,2450.0,21968.428,10,1.0914433027947497e-05
1024046298.0,Rådyr,1500.0,5669.456,6,1.0846594801950217e-05
1024046339.0,Rådyr,750.0,4256.01,3,1.0791134004302066e-05
1024046627.0,Rådyr,1520.0,4701.28,6,1.0723841422982265e-05
1024046277.0,Hjort,1500.0,13300.965,6,1.0698982348462288e-05
1024045956.0,Rådyr,776.0,3205.165,3,1.0473214753268516e-05
1024045807.0,Elg,1600.0,11320.552,6,1.0078596253113866e-05
1024046392.0,Rådyr,4130.0,3702.023,15,9.926201996887142e-06
1024046436.0,Elg,1400.0,10981.896,5,9.578874367315348e-06
1024046157.0,Rådyr,1700.0,8091.558,6,9.545142158983887e-06
1024045828.0,Rådyr,1420.0,11842.549,5,9.431417560922242e-06
1022805388.0,Elg,2600.0,31163.243,9,9.182146234860936e-06
1024045953.0,Rådyr,883.0,14630.93,3,8.904032339445457e-06
1024045551.0,Rådyr,877.0,20270.708,3,8.813782405339978e-06
1024045666.0,Rådyr,2160.0,6339.953,7,8.807912021541636e-06
1024045591.0,Rådyr,927.0,3323.148,3,8.780196559333641e-06
1024046726.0,Elg,920.0,12989.388,3,8.601188684276167e-06
1024045967.0,Rådyr,950.0,3693.449,3,8.56059330618674e-06
1024045665.0,Rådyr,1300.0,2789.799,4,8.380649081271344e-06
1024045491.0,Rådyr,1300.0,10467.241,4,8.247983883439492e-06
1024045823.0,Rådyr,1000.0,920.418,3,8.19851333624836e-06
1024046633.0,Rådyr,1070.0,1399.419,3,7.654057032930304e-06
1022805870.0,Rådyr,2500.0,7382.255,7,7.60967167528009e-06
1024046459.0,Rådyr,2200.0,2803.519,6,7.445979419312885e-06
1024045678.0,Rådyr,1110.0,3934.405,3,7.333457187276941e-06
1024045773.0,Hjort,1100.0,8826.327,3,7.311259827551751e-06
1024046553.0,Rådyr,1500.0,3272.653,4,7.2625201307979875e-06
1024046464.0,Elg,1100.0,22932.805,3,7.068253411021292e-06
1022805677.0,Rådyr,3590.0,8567.298,9,6.823780419844463e-06
1024046117.0,Rådyr,1600.0,6830.061,4,6.7701369260193285e-06
1024045569.0,Rådyr,1210.0,7705.235,3,6.676235938178055e-06
1024045881.0,Elg,1200.0,11864.004,3,6.668682090587378e-06
1024045881.0,Rådyr,1200.0,11864.004,3,6.668682090587378e-06
1024046353.0,Rådyr,1200.0,13696.27,3,6.641635082002054e-06
1022805870.0,Elg,2500.0,7382.255,6,6.522575721668649e-06
1022805428.0,Rådyr,2100.0,5896.163,5,6.473363404264134e-06
1024046086.0,Rådyr,2960.0,2857.519,7,6.461987818229822e-06
1022805917.0,Rådyr,2130.0,32999.319,5,6.169419667369569e-06
1024046282.0,Elg,1330.0,8437.813,3,6.07425165219645e-06
1024046063.0,Rådyr,2300.0,4074.77,5,5.927155261832084e-06
1024045834.0,Hjort,2300.0,7883.065,5,5.900519599755954e-06
1024046292.0,Rådyr,2310.0,6615.941,5,5.8839727642668685e-06
1024046396.0,Elg,1380.0,12039.816,3,5.8168844766742935e-06
1024045735.0,Elg,1470.0,5062.181,3,5.539020553458934e-06
1024045527.0,Rådyr,1970.0,8510.785,4,5.497820801279892e-06
1024046270.0,Rådyr,2500.0,1458.0,5,5.470710907941065e-06
1024046204.0,Rådyr,1500.0,2843.4,3,5.451145921725179e-06
1024045936.0,Rådyr,2000.0,4333.994,4,5.447112621777012e-06
1024046002.0,Rådyr,1480.0,17919.871,3,5.375188131584605e-06
1024046884.0,Rådyr,2540.0,6864.779,5,5.353519671508033e-06
1024045748.0,Elg,2040.0,11100.656,4,5.293098725554154e-06
1024045612.0,Rådyr,1540.0,6736.525,3,5.273918539054246e-06
1024046398.0,Rådyr,2080.0,5404.362,4,5.2314662230383306e-06
1024046122.0,Rådyr,3800.0,3178.327,7,5.03532641143796e-06
1024046755.0,Rådyr,2190.0,2792.157,4,4.986648249312466e-06
1024046283.0,Hjort,2200.0,6262.404,4,4.942775022180703e-06
1024046401.0,Rådyr,2800.0,2723.044,5,4.879367399775354e-06
1024046418.0,Rådyr,1680.0,1923.207,3,4.877073365814642e-06
1022805506.0,Rådyr,2200.0,18573.433,4,4.868709171309184e-06
1022805590.0,Hjort,1700.0,3889.992,3,4.8046893768317876e-06
1024045834.0,Rådyr,2300.0,7883.065,4,4.720415679804764e-06
1024046601.0,Elg,1720.0,13505.125,3,4.67796134444609e-06
1024045797.0,Elg,1740.0,9706.196,3,4.652562165984808e-06
1022805435.0,Elg,2410.0,12050.042,4,4.4858136144443195e-06
1022805676.0,Elg,1820.0,11102.593,3,4.441792529793323e-06
1024046317.0,Rådyr,1840.0,6163.402,3,4.426326016616428e-06
1024046316.0,Rådyr,1900.0,2415.595,3,4.310865104409153e-06
1024045598.0,Rådyr,2600.0,2199.918,4,4.205214465937763e-06
1024046349.0,Hjort,1940.0,6778.796,3,4.196514375159992e-06
1024537870.0,Rådyr,2000.0,4155.208,3,4.086330543277646e-06
1024046419.0,Rådyr,4160.0,6813.699,6,3.933874197325752e-06
1024045979.0,Rådyr,2100.0,753.451,3,3.91005313762214e-06
1024047170.0,Rådyr,2100.0,2528.61,3,3.901023238395431e-06
1024045572.0,Rådyr,3500.0,4266.991,5,3.900864977800177e-06
1024045668.0,Rådyr,2100.0,5018.742,3,3.888433078122509e-06
1022805470.0,Rådyr,7070.0,4798.885,10,3.8679497429554e-06
1024046449.0,Rådyr,3530.0,5706.775,5,3.863518877539587e-06
1022805506.0,Elg,2200.0,18573.433,3,3.651531878481888e-06
1024046542.0,Hjort,2230.0,10162.666,3,3.6402774862185163e-06
1024046011.0,Elg,2300.0,7349.897,3,3.5425400011808467e-06
1024047173.0,Rådyr,2350.0,1725.74,3,3.490498862097371e-06
1024046048.0,Rådyr,2400.0,6121.565,3,3.4008901263090593e-06
1024046351.0,Rådyr,3300.0,2137.762,4,3.3149958811176175e-06
1022805828.0,Hjort,3400.0,5231.93,4,3.209675245058705e-06
1024045598.0,Elg,2600.0,2199.918,3,3.153910849453322e-06
1022805567.0,Elg,2700.0,8320.824,3,3.018652252266756e-06
1022805567.0,Rådyr,2700.0,8320.824,3,3.018652252266756e-06
1024047044.0,Elg,3800.0,3671.029,4,2.8763093499468963e-06
1024045554.0,Rådyr,2900.0,717.919,3,2.8322781523727884e-06
1022805607.0,Rådyr,3000.0,6052.469,3,2.724666954875882e-06
1024045832.0,Rådyr,4190.0,6386.881,4,2.604612638752599e-06
1024046488.0,Elg,3200.0,4965.117,3,2.557621071387467e-06
1024046488.0,Rådyr,3200.0,4965.117,3,2.557621071387467e-06
1022805754.0,Elg,4400.0,13248.23,4,2.4702825015068724e-06
1022805621.0,Elg,4980.0,4610.356,4,2.1950162156822933e-06
1022805448.0,Rådyr,5460.0,4149.945,4,2.0029543576775743e-06
1024046392.0,Elg,4130.0,3702.023,3,1.9852403993774287e-06
1024045832.0,Elg,4190.0,6386.881,3,1.953459479064449e-06
1022805904.0,Rådyr,8480.0,3884.691,6,1.9360553195539975e-06
1024045821.0,Rådyr,4500.0,5227.378,3,1.8206899565279929e-06
1022805621.0,Rådyr,4980.0,4610.356,3,1.64626216176172e-06
1022805712.0,Elg,5000.0,8064.823,3,1.636603175555695e-06
1024045553.0,Rådyr,5120.0,5122.737,3,1.6009195681999741e-06
1022805899.0,Rådyr,5200.0,3927.944,3,1.5773467765341275e-06
1024046183.0,Rådyr,5200.0,4881.962,3,1.5765559819263622e-06
1022805618.0,Rådyr,9000.0,2597.605,5,1.5208672106504506e-06
1024046982.0,Rådyr,5440.0,3136.61,3,1.5084950900998976e-06
1022805804.0,Rådyr,8600.0,2883.381,4,1.2731218826417152e-06
1022805713.0,Rådyr,8970.0,5702.909,4,1.2196040372552446e-06
1022805640.0,Rådyr,7200.0,3258.275,3,1.1401390513587036e-06
1022805551.0,Rådyr,8400.0,5215.863,3,9.768117905090362e-07
1022805904.0,Elg,8480.0,3884.691,3,9.680276597769987e-07
1022805624.0,Elg,9600.0,7747.576,3,8.54275420673693e-07
1022805355.0,Rådyr,9660.0,5211.179,3,8.495909644301751e-07
1022805534.0,Rådyr,10500.0,1957.961,3,7.823791524121532e-07
1022805612.0,Rådyr,11000.0,4248.577,3,7.464080976321696e-07
1022805364.0,Rådyr,11000.0,5601.431,3,7.46157104373202e-07
1022805393.0,Rådyr,11500.0,1837.799,3,7.143983170680712e-07
1022805368.0,Rådyr,11800.0,1735.755,3,6.96259877606797e-07
1022805893.0,Rådyr,16500.0,946.617,3,4.980536891915875e-07
1022805880.0,Rådyr,55000.0,631.297,4,1.9924653924950105e-07
