Vegobjekt_540_id,Vegnamn,Art,"ÅDT, total_avg",Vegobjekt_540_lengde_avg,UTM_nord_int_avg,UTM33_øst_int_avg,antall_kollisjoner,frekvens,årsrisiko,samanlikning_yrke
1026904159.0,EV6,Elg,1820,15738,7191231,404357,3,2.8695081416267553e-05,0.004304262212440133,Leiarar
1026879830.0,FV763,Rådyr,650,7496,7123610,368379,3,0.00016868849195861958,0.025303273793792935,1-2x høgare risiko enn høyrisikoyrke
1026880127.0,FV763,Rådyr,600,30115,7116576,348953,13,0.00019711350022781773,0.029567025034172658,1-2x høgare risiko enn høyrisikoyrke
1026880478.0,FV757,Rådyr,2300,1803,7077910,331073,4,0.00026426738309554226,0.03964010746433134,1-2x høgare risiko enn høyrisikoyrke
1026905195.0,EV6,Rådyr,11000,4249,7083920,323991,3,1.758526729752836e-05,0.002637790094629254,lågare risiko enn dei fleste yrke
1026880650.0,FV759,Rådyr,600,12402,7089024,333918,3,0.00011045500836144413,0.01656825125421662,"Renhaldarar, hjelpearbeidarar mv."
1026880388.0,FV6890,Rådyr,600,7275,7077941,307481,7,0.0004393604167647382,0.06590406251471073,>2x høgare risiko enn høgrisikoyrke
1026880497.0,FV753,Rådyr,1700,8092,7059719,296539,7,0.00013941207141243946,0.02091181071186592,1-2x høgare risiko enn høyrisikoyrke
1026879990.0,FV6890,Rådyr,600,6225,7078948,306182,6,0.0004401166309071904,0.06601749463607856,>2x høgare risiko enn høgrisikoyrke
1026904627.0,EV6,Rådyr,8560,3885,7067361,308440,10,8.238390007689713e-05,0.01235758501153457,Sals- og serviceyrke
1026904397.0,EV6,Rådyr,12000,1736,7070779,312513,4,5.2606106516844475e-05,0.00789091597752667,Kontoryrke
1026879422.0,FV6854,Rådyr,180,4923,7064374,307273,3,0.0009275259081174285,0.13912888621761427,>5x høgare risiko enn høgrisikoyrke
1026904282.0,EV6,Rådyr,8000,5710,7063936,306356,3,1.799294676486817e-05,0.0026989420147302255,lågare risiko enn dei fleste yrke
1026904341.0,EV6,Rådyr,8600,2883,7058548,303423,3,3.315013463927184e-05,0.004972520195890776,Leiarar
1026904627.0,EV6,Elg,8560,3885,7066900,307949,3,2.471517002306914e-05,0.003707275503460371,Leiarar
1026879766.0,FV753,Rådyr,2000,2529,7059189,302724,3,0.0001624985781374413,0.024374786720616198,1-2x høgare risiko enn høyrisikoyrke
1026879863.0,FV753,Rådyr,1800,1090,7058817,300669,3,0.00041891835281303676,0.06283775292195551,>2x høgare risiko enn høgrisikoyrke
1026880881.0,FV6866,Rådyr,1900,4606,7072690,314299,3,9.391843684658204e-05,0.014087765526987307,Sals- og serviceyrke
1026904912.0,EV6,Elg,9600,7748,7056763,301897,3,1.1050134016025346e-05,0.0016575201024038018,lågare risiko enn dei fleste yrke
1026880186.0,FV6846,Rådyr,650,1939,7058146,297955,4,0.0008695127630887485,0.13042691446331228,>5x høgare risiko enn høgrisikoyrke
1026880424.0,FV6818,Rådyr,300,2354,7062207,293289,3,0.0011638598247227104,0.17457897370840655,>5x høgare risiko enn høgrisikoyrke
1026880326.0,FV705,Rådyr,4230,6387,7038165,297410,4,4.0562979062409354e-05,0.0060844468593614035,Høgskuleyrke
1026879156.0,FV6794,Rådyr,760,6829,7045484,303686,3,0.0001583644457883134,0.023754666868247013,1-2x høgare risiko enn høyrisikoyrke
1026901786.0,EV14,Rådyr,5480,4150,7043399,303423,3,3.614096421683133e-05,0.005421144632524699,Høgskuleyrke
1026901776.0,EV14,Rådyr,7000,4799,7043500,300018,11,8.971210163239324e-05,0.013456815244858986,Sals- og serviceyrke
1026904605.0,EV6,Rådyr,10500,1958,7049628,294004,4,5.3304655428712684e-05,0.007995698314306902,Kontoryrke
1026901784.0,EV14,Rådyr,3000,6052,7041304,314148,3,4.526976251482585e-05,0.006790464377223877,Høgskuleyrke
1026879540.0,FV6810,Rådyr,1100,5060,7046975,292902,4,0.0001968901205459763,0.029533518081896446,1-2x høgare risiko enn høyrisikoyrke
1026901780.0,EV14,Rådyr,3400,5232,7040787,311572,4,6.160564011956422e-05,0.009240846017934633,Kontoryrke
1026879275.0,FV6786,Rådyr,437,6938,7039108,298186,4,0.00036145263440189246,0.05421789516028387,>2x høgare risiko enn høgrisikoyrke
1026901780.0,EV14,Hjort,3400,5232,7040770,311530,4,6.160564011956422e-05,0.009240846017934633,Kontoryrke
1026880719.0,FV6788,Rådyr,951,6833,7041895,303024,7,0.0002951299184984606,0.04426948777476909,>2x høgare risiko enn høgrisikoyrke
1026901773.0,EV14,Elg,1800,15372,7031881,343937,4,3.9606297559737185e-05,0.005940944633960578,Høgskuleyrke
1026880305.0,FV705,Rådyr,600,16632,7008380,309427,4,0.00010981746141563493,0.01647261921234524,"Renhaldarar, hjelpearbeidarar mv."
1026880717.0,FV6712,Rådyr,507,5116,7020775,297927,4,0.0004225018663491819,0.06337527995237728,>2x høgare risiko enn høgrisikoyrke
1026880481.0,FV705,Rådyr,2500,4075,7021386,303441,3,8.067904865955122e-05,0.012101857298932683,Sals- og serviceyrke
1026879262.0,FV6623,Rådyr,500,4230,7025175,249729,5,0.0006476893681790214,0.0971534052268532,>2x høgare risiko enn høgrisikoyrke
1026879283.0,FV708,Rådyr,2410,5986,7025819,261267,7,0.00013293869784532388,0.019940804676798582,"Prosess- og maskinoperatørar, transportarbeidarar mv."
1026904161.0,EV6,Rådyr,9800,5211,7008311,260375,4,2.145951873703007e-05,0.00321892781055451,Leiarar
1026880820.0,FV6612,Rådyr,1590,3934,7025100,263911,5,0.0002190007791609721,0.03285011687414582,1-2x høgare risiko enn høyrisikoyrke
1026904080.0,EV6,Rådyr,11500,1838,7017592,263910,3,3.8885263198144395e-05,0.00583278947972166,Høgskuleyrke
1026905225.0,EV6,Rådyr,11000,5601,7014030,263926,4,1.7787252454251742e-05,0.0026680878681377613,lågare risiko enn dei fleste yrke
1026904740.0,EV6,Rådyr,16500,947,7027524,263727,3,5.260105649221965e-05,0.007890158473832946,Kontoryrke
1026879283.0,FV708,Elg,2410,5986,7024001,259387,3,5.697372764799595e-05,0.008546059147199393,Kontoryrke
1026880645.0,FV30,Rådyr,1380,12039,6979364,306386,4,6.59625788024009e-05,0.009894386820360134,Kontoryrke
1026880645.0,FV30,Elg,1380,12039,6976498,307527,3,4.947193410180067e-05,0.007420790115270101,Kontoryrke
1026879307.0,FV761,Rådyr,2000,5019,7091694,318737,4,0.0001091741792148739,0.016376126882231085,"Renhaldarar, hjelpearbeidarar mv."
1026879179.0,FV761,Rådyr,3010,2071,7097932,321770,3,0.0001318505044699189,0.019777575670487834,"Prosess- og maskinoperatørar, transportarbeidarar mv."
1026880246.0,FV755,Rådyr,634,15466,7082888,297115,6,0.00016764519958895855,0.025146779938343782,1-2x høgare risiko enn høyrisikoyrke
1026879265.0,FV6942,Rådyr,280,8967,7092084,316573,4,0.0004364775649440425,0.06547163474160637,>2x høgare risiko enn høgrisikoyrke
1026880405.0,FV6936,Rådyr,600,6554,7097027,317063,5,0.0003483529177343684,0.052252937660155256,>2x høgare risiko enn høgrisikoyrke
1026879712.0,FV6930,Rådyr,500,6566,7084386,322339,3,0.0002503557137432769,0.03755335706149154,1-2x høgare risiko enn høyrisikoyrke
1026879909.0,FV755,Elg,1600,6830,7086556,309529,3,7.521209811668906e-05,0.011281814717503358,Kontoryrke
1026880246.0,FV755,Elg,634,15466,7082163,295348,4,0.00011176346639263903,0.016764519958895854,"Renhaldarar, hjelpearbeidarar mv."
1026880297.0,FV761,Rådyr,1900,2804,7095220,319596,3,0.0001542754351338648,0.02314131527007972,1-2x høgare risiko enn høyrisikoyrke
1026880212.0,FV6920,Rådyr,200,10769,7080249,302301,3,0.00038161287409192035,0.05724193111378805,>2x høgare risiko enn høgrisikoyrke
1026879823.0,FV755,Rådyr,600,3892,7084600,306116,4,0.0004692918854740083,0.07039378282110124,>2x høgare risiko enn høgrisikoyrke
1026879362.0,FV6918,Rådyr,280,8196,7088291,305341,4,0.0004775371308996131,0.07163056963494197,>2x høgare risiko enn høgrisikoyrke
1026879269.0,FV718,Rådyr,2190,2792,7061366,251395,4,0.00017922871788915887,0.02688430768337383,1-2x høgare risiko enn høyrisikoyrke
1026880869.0,FV720,Rådyr,1120,10573,7072002,267276,3,6.94084163350024e-05,0.01041126245025036,Kontoryrke
1026880200.0,FV718,Rådyr,836,9080,7062599,245153,12,0.00043310804977508697,0.06496620746626304,>2x høgare risiko enn høgrisikoyrke
1026880242.0,FV755,Rådyr,750,28148,7059357,272466,26,0.00033742066558821833,0.05061309983823275,>2x høgare risiko enn høgrisikoyrke
1026880037.0,FV717,Rådyr,1580,4049,7056250,248264,8,0.0003426038656079808,0.05139057984119712,>2x høgare risiko enn høgrisikoyrke
