Vegobjekt_540_id,Art,"ÅDT, total_avg",Vegobjekt_540_lengde_avg,UTM_nord_int_avg,UTM33_øst_int_avg,antall_kollisjoner,frekvens,årsrisiko,samanlikning_yrke
1024045639.0,Elg,770,24849,7204322,352664,4,5.727531489986031e-05,0.008591297234979046,Kontoryrke
1024047173.0,Rådyr,2350,1726,7155188,330965,4,0.00027018328220677597,0.04052749233101639,1-2x høgare risiko enn høyrisikoyrke
1022805448.0,Rådyr,5460,4150,7043405,303844,3,3.627334870114207e-05,0.0054410023051713104,Høgskuleyrke
1022805754.0,Rådyr,4400,13248,6956800,235263,19,8.930129165388249e-05,0.013395193748082374,Sals- og serviceyrke
1024046552.0,Rådyr,2890,2071,7097932,321770,3,0.0001373252659011958,0.02059878988517937,Håndverkarar
1024046378.0,Rådyr,479,7560,7205565,312916,5,0.0003782856186551099,0.05674284279826648,>2x høgare risiko enn høgrisikoyrke
1024046601.0,Rådyr,1720,13505,7073374,264656,8,9.435699189438056e-05,0.014153548784157083,Sals- og serviceyrke
1024046601.0,Elg,1720,13505,7075322,264993,4,4.717849594719028e-05,0.007076774392078542,Kontoryrke
1024046090.0,Rådyr,600,6554,7096475,316506,6,0.00041802350128124205,0.0627035251921863,>2x høgare risiko enn høgrisikoyrke
1024046694.0,Hjort,338,29036,7037189,214186,3,8.374808829634647e-05,0.01256221324445197,Sals- og serviceyrke
1024045894.0,Rådyr,1580,11332,7029995,201268,8,0.0001224146710065932,0.01836220065098898,"Bønder, fiskarar mv."
1022805677.0,Rådyr,3590,8567,6949373,225566,8,7.126460906112846e-05,0.01068969135916927,Kontoryrke
1024046468.0,Elg,411,27522,7175872,329706,3,7.266187123021583e-05,0.010899280684532374,Kontoryrke
1024047066.0,Rådyr,2310,3619,7043889,259936,3,9.831682094132555e-05,0.014747523141198832,"Renhaldarar, hjelpearbeidarar mv."
1022805435.0,Elg,2410,12050,7139985,371424,6,5.660493505409191e-05,0.008490740258113787,Kontoryrke
1022805470.0,Rådyr,7070,4799,7043452,300155,10,8.07489663657905e-05,0.012112344954868574,Sals- og serviceyrke
1024046670.0,Rådyr,355,18427,7074403,252014,7,0.0002931717953948595,0.043975769309228925,>2x høgare risiko enn høgrisikoyrke
1024046069.0,Rådyr,550,4317,7076941,245527,4,0.0004615538614605699,0.06923307921908549,>2x høgare risiko enn høgrisikoyrke
1024045852.0,Rådyr,2200,6091,7033109,260713,3,6.133623440091775e-05,0.009200435160137663,Kontoryrke
1024045491.0,Rådyr,1300,10467,7104648,263348,5,0.0001006726645426748,0.01510089968140122,"Renhaldarar, hjelpearbeidarar mv."
1024045748.0,Rådyr,2040,11101,7082604,249213,8,9.678428643232142e-05,0.014517642964848214,"Renhaldarar, hjelpearbeidarar mv."
1022805621.0,Rådyr,4980,4610,6954344,231653,4,4.773499250620286e-05,0.007160248875930429,Kontoryrke
1024046111.0,Elg,300,18388,7029222,290053,3,0.00014899532452671636,0.022349298679007455,1-2x høgare risiko enn høyrisikoyrke
1024046937.0,Elg,1200,5986,7024001,259387,3,0.0001144222363597252,0.017163335453958782,"Renhaldarar, hjelpearbeidarar mv."
1022805676.0,Rådyr,1820,11103,7170865,386828,3,4.067397922446354e-05,0.006101096883669531,Høgskuleyrke
1022805381.0,Rådyr,2400,7592,7180122,396357,3,4.510876625719936e-05,0.006766314938579904,Høgskuleyrke
1024046452.0,Rådyr,1100,6085,7109168,337635,7,0.00028651799793502386,0.04297769969025358,>2x høgare risiko enn høgrisikoyrke
1024046488.0,Elg,3200,4965,7035684,301537,3,5.1731986922153704e-05,0.007759798038323056,Kontoryrke
1024046631.0,Elg,700,17819,7145227,317115,3,6.589417461451084e-05,0.009884126192176627,Kontoryrke
