Uri;FallviltId;Kjonn;HendelsesDatoTid;UkjentTidspunkt;Latitude;Longitude;KommuneNummer;KommuneNavn;VillreinområdeNummer;VillreinområdeNavn;Arsak;TypeMotorkjøretøy;RegistrertDatoTid;EndretDatoTid;Dato;År;Kommune;Stedfesting;Art;Kjønn;Alder;Årsak;Utfall;Merkelappnummer;Fallvilt-ID;UTM33 øst;UTM33 nord;OppdatertDatoTid;vegsystemreferanse.kortform;vegkategori;fase;vegnr;strekning;delstrekning;arm;adskilte_løp;trafikantgruppe;retning;meter;veglenkesekvensid;relativPosisjon;veglenkesekvens.kortform;geometri.wkt;geometri.srid;kommune (treff);avstand_vegnettet_m;Vegobjekt_540_id;ÅDT, total;Vegobjekt_105_id;Fartsgrense;Vegobjekt_540_lengde;snow_depth;max_temperature;min_temperature;mean_temperature;total_precipitation;max_wind_speed;mean_wind_speed;max_wind_gust;precipitation_type;weather_station_id;Måned;monthly_snow_depth;monthly_mean_temperature;monthly_mean_wind_speed;HendelsesDatoTid;UkjentTidspunkt
https://www.hjorteviltregisteret.no/api/v0/fallvilt/1315419;1315419;Hann;2025-05-21T08:00:00;False;63.100384;9.35129;5061;Rindal;;;PåkjørtAvMotorkjøretøy;Personbil;2025-05-21T08:33:07.158773Z;2025-05-21T08:33:07.165155Z;2025-05-21;2025;5061 Rindal;;Rådyr;Hann;Voksen;PåkjørtAvMotorkjøretøy;DødtPåStedet;;1315419;215134.48512712843;7009310.998364685;2026-04-30T07:26:42.095532;FV65 S5D1 m4697;F;V;65.0;5.0;1.0;False;Nei;K;MED;4697.139;249583.0;0.48580175;0.48580175@249583;POINT Z (215134.831 7009309.041 218.539);5973.0;5061.0;1.988;;;;;;;;;3.3;;;;;;SN64590;5;;3.3;;2025-05-21T08:00:00;false
https://www.hjorteviltregisteret.no/api/v0/fallvilt/1321895;1321895;Hann;2025-09-04T07:30:00;False;63.033657;9.107791;5061;Rindal;;;PåkjørtAvMotorkjøretøy;Ukjent;2025-09-04T08:52:33.361802Z;2025-09-04T09:16:16.743706Z;2025-09-04;2025;5061 Rindal;;Rådyr;Hann;Voksen;PåkjørtAvMotorkjøretøy;DødtPåStedet;;1321895;202198.0135695567;7003004.044564104;2026-04-30T07:26:42.095532;FV65 S7D1 m3601;F;V;65.0;7.0;1.0;False;Nei;K;MED;3600.7;249009.0;0.21694136;0.21694136@249009;POINT Z (202199.358 7003003.311 54.29);5973.0;5061.0;1.532;;;;;;;22.8 degC;11.3 degC;14.3;10.2 mm;;;;;SN64870;9;;14.3;;2025-09-04T07:30:00;false
https://www.hjorteviltregisteret.no/api/v0/fallvilt/1326071;1326071;Hann;2025-10-25T02:00:00;False;63.040653;9.122629;5061;Rindal;;;PåkjørtAvMotorkjøretøy;Personbil;2025-10-30T14:53:28.665131Z;2025-10-30T14:53:28.671323Z;2025-10-25;2025;5061 Rindal;;Rådyr;Hann;Voksen;PåkjørtAvMotorkjøretøy;DødtPåStedet;;1326071;203017.6894286679;7003712.351188319;2026-04-30T07:26:42.095532;FV65 S7D1 m2509;F;V;65.0;7.0;1.0;False;Nei;K;MED;2508.881;249009.0;0.10375014;0.10375014@249009;POINT Z (203018.081 7003711.632 58.627);5973.0;5061.0;0.819;;;;;;;10.6 degC;5 degC;6.1;2.2 mm;;;;;SN64870;10;;6.0;;2025-10-25T02:00:00;false
https://www.hjorteviltregisteret.no/api/v0/fallvilt/1334980;1334980;Hunn;2026-02-17T13:00:00;False;63.042465;9.130963;5061;Rindal;;;PåkjørtAvMotorkjøretøy;Personbil;2026-02-17T15:25:26.776798Z;2026-02-17T15:25:26.77677Z;2026-02-17;2026;5061 Rindal;;Rådyr;Hunn;Voksen;PåkjørtAvMotorkjøretøy;ObservertAntattUskadd;;1334980;203456.37346209405;7003875.083030222;2026-04-30T07:26:42.095532;FV65 S7D1 m2041;F;V;65.0;7.0;1.0;False;Nei;K;MED;2040.566;249009.0;0.05482421;0.05482421@249009;POINT Z (203457.449 7003870.919 60.299);5973.0;5061.0;4.301;;;;;;42.0;-2.7 degC;-9.1 degC;-4.7;0 mm;;;;;SN64870;2;41.5;-8.266666666666667;;2026-02-17T13:00:00;false
https://www.hjorteviltregisteret.no/api/v0/fallvilt/1307982;1307982;Ukjent;2025-01-17T20:00:00;False;62.80237;9.65713;5022;Rennebu;;;PåkjørtAvMotorkjøretøy;;2025-01-18T15:14:00.72317Z;2025-01-21T12:37:00.72652Z;2025-01-17;2025;5022 Rennebu;;Rev;Ukjent;Ukjent;PåkjørtAvMotorkjøretøy;AvlivetEtterEttersøk;;1307982;227772.24006428308;6974871.140713089;2026-04-30T07:26:42.095532;FV6516 S2D1 m5800;F;V;6516.0;2.0;1.0;False;Nei;K;MED;5800.133;72574.0;0.69155394;0.69155394@72574;POINT Z (227771.337 6974871.747 656.79);5973.0;5022.0;1.088;;;;;;;;;;;;;;;;1;47.0;-3.266666666666666;;2025-01-17T20:00:00;false
https://www.hjorteviltregisteret.no/api/v0/fallvilt/1331873;1331873;Hunn;2026-01-14T07:00:00;False;63.04777;9.195351;5061;Rindal;;;PåkjørtAvMotorkjøretøy;Personbil;2026-01-14T12:21:25.236794Z;2026-01-14T12:21:25.236765Z;2026-01-14;2026;5061 Rindal;;Rådyr;Hunn;Ungdyr;PåkjørtAvMotorkjøretøy;AvlivetPåStedet;;1331873;206756.470031588;7004168.528061885;2026-04-30T07:26:42.095532;FV6164 S1D1 m1342;F;V;6164.0;1.0;1.0;False;Nei;K;MED;1342.365;249383.0;0.21204337;0.21204337@249383;POINT Z (206756.343 7004169.328 84.633);5973.0;5061.0;0.809;;;;;;42.3;2.7 degC;-3.4 degC;-0.9;0 mm;;;;;SN64870;1;42.3;-0.9;;2026-01-14T07:00:00;false
https://www.hjorteviltregisteret.no/api/v0/fallvilt/1334047;1334047;Hunn;2026-02-07T01:00:00;False;63.047466;9.179485;5061;Rindal;;;PåkjørtAvMotorkjøretøy;Personbil;2026-02-07T13:25:23.725164Z;2026-02-07T13:25:23.725137Z;2026-02-07;2026;5061 Rindal;;Rådyr;Hunn;Ungdyr;PåkjørtAvMotorkjøretøy;FunnetDødEtterEttersøk;;1334047;205953.500427037;7004207.344588849;2026-04-30T07:26:42.095532;FV6164 S1D1 m532;F;V;6164.0;1.0;1.0;False;Nei;K;MED;532.275;249383.0;0.08415318;0.08415318@249383;POINT Z (205953.671 7004208.024 72.754);5973.0;5061.0;0.701;;;;;;41.0;-0.7 degC;-8.2 degC;-6.6;0 mm;;;;;SN64870;2;41.5;-8.266666666666667;;2026-02-07T01:00:00;false
https://www.hjorteviltregisteret.no/api/v0/fallvilt/1333969;1333969;Hunn;2026-02-05T22:00:00;False;63.0953;9.305295;5061;Rindal;;;PåkjørtAvMotorkjøretøy;Personbil;2026-02-06T12:07:59.868497Z;2026-02-06T12:07:59.868463Z;2026-02-05;2026;5061 Rindal;;Elg;Hunn;Voksen;PåkjørtAvMotorkjøretøy;ObservertAntattUskadd;;1333969;212769.23280272563;7008951.242018297;2026-04-30T07:26:42.095532;FV65 S5D1 m7141;F;V;65.0;5.0;1.0;False;Nei;K;MED;7141.224;249583.0;0.73933341;0.73933341@249583;POINT Z (212768.694 7008952.475 189.014);5973.0;5061.0;1.346;;;;;;;;;-13.5;;;;;;SN64590;2;41.5;-8.266666666666667;;2026-02-05T22:00:00;false
https://www.hjorteviltregisteret.no/api/v0/fallvilt/1337166;1337166;Hunn;2026-03-27T00:00:00;True;63.047375;9.184594;5061;Rindal;;;PåkjørtAvMotorkjøretøy;Ukjent;2026-03-27T08:20:54.840231Z;2026-03-27T08:20:54.8402Z;2026-03-27;2026;5061 Rindal;;Rådyr;Hunn;Ungdyr;PåkjørtAvMotorkjøretøy;DødtPåStedet;;1337166;206210.1596522592;7004173.841760428;2026-04-30T07:26:42.095532;FV6164 S1D1 m792;F;V;6164.0;1.0;1.0;False;Nei;K;MED;792.462;249383.0;0.12525313;0.12525313@249383;POINT Z (206208.098 7004156.843 80.818);5973.0;5061.0;17.123;;;;;;39.3;5.2 degC;-3.8 degC;-0.9;8.8 mm;;;;;SN64870;3;39.3;-0.9;;2026-03-27T00:00:00;true
https://www.hjorteviltregisteret.no/api/v0/fallvilt/1307734;1307734;Hann;2025-01-15T00:31:00;False;63.061886;9.219769;5061;Rindal;;;PåkjørtAvMotorkjøretøy;Personbil;2025-01-15T07:38:18.766532Z;2025-01-15T07:38:18.771662Z;2025-01-15;2025;5061 Rindal;;Rådyr;Hann;Voksen;PåkjørtAvMotorkjøretøy;AvlivetPåStedet;;1307734;208129.0540952228;7005625.25410586;2026-04-30T07:26:42.095532;FV6164 S1D1 m3949;F;V;6164.0;1.0;1.0;False;Nei;K;MED;3949.121;249383.0;0.62876148;0.62876148@249383;POINT Z (208128.131 7005625.945 146.623);5973.0;5061.0;1.153;;;;;;54.7;5.4 degC;1.2 degC;2.8;5.5 mm;;;;;SN64870;1;57.9;1.1333333333333335;;2025-01-15T00:31:00;false
