Vegobjekt_540_id,Art,"ÅDT, total",Vegobjekt_540_lengde,antall_kollisjoner,frekvens
1024046298.0,Rådyr,1500.0,5669.456,6,0.0008369368112707491
1024046452.0,Rådyr,1100.0,6085.473,6,0.0008350730688935282
1024045598.0,Rådyr,2600.0,2199.918,4,0.0008333333333333334
1024046418.0,Rådyr,1680.0,1923.207,3,0.0008326394671107411
1024045554.0,Rådyr,2900.0,717.919,3,0.0008291873963515755
1024045666.0,Rådyr,2160.0,6339.953,7,0.0008235294117647059
1024046181.0,Rådyr,450.0,1987.388,2,0.0008206811653672548
1024046803.0,Rådyr,60.0,1185.245,1,0.0008032128514056225
1024046755.0,Rådyr,2190.0,2792.157,4,0.0008028904054596548
1024045610.0,Rådyr,700.0,3083.841,3,0.0007928118393234672
1024046063.0,Rådyr,2300.0,4074.77,5,0.000784313725490196
1024045983.0,Rådyr,500.0,789.172,1,0.0007757951900698216
1024045637.0,Rådyr,1000.0,10607.455,9,0.0007753941586973378
1024045820.0,Rådyr,550.0,7275.17,6,0.0007667731629392971
1024045956.0,Rådyr,776.0,3205.165,3,0.0007535795026375283
1024045886.0,Rådyr,1300.0,6690.325,6,0.000750938673341677
1024045951.0,Rådyr,547.0,2127.62,2,0.0007476635514018691
1022805677.0,Rådyr,3590.0,8567.298,9,0.000740314222258781
1013123962.0,Rådyr,150.0,1203.528,1,0.0007385524372230429
1024046712.0,Rådyr,1170.0,1547.004,2,0.000736105999263894
1024047173.0,Rådyr,2350.0,1725.74,3,0.0007360157016683023
1024046351.0,Rådyr,3300.0,2137.762,4,0.000735564545788893
1022805916.0,Hjort,1660.0,9285.324,8,0.0007309273640931932
1022805916.0,Rådyr,1660.0,9285.324,8,0.0007309273640931932
1024046995.0,Rådyr,300.0,6589.197,5,0.0007257947452460444
1024046721.0,Rådyr,700.0,4821.912,4,0.0007243752263672582
1024046144.0,Rådyr,700.0,3478.0,3,0.0007180469123982767
1024046248.0,Rådyr,1600.0,1199.658,2,0.0007142857142857143
1024046244.0,Rådyr,507.0,5115.948,4,0.0007113640405477503
1013838320.0,Rådyr,600.0,809.865,1,0.0007092198581560284
1022805870.0,Rådyr,2500.0,7382.255,7,0.0007083586318558996
1024045591.0,Rådyr,927.0,3323.148,3,0.0007058823529411765
1024046793.0,Rådyr,213.0,1204.295,1,0.0007057163020465773
1024046821.0,Rådyr,300.0,1119.514,1,0.0007042253521126761
1024046090.0,Rådyr,600.0,6554.424,5,0.0006989097008666481
1024046114.0,Rådyr,735.0,13591.844,10,0.0006979828296223913
1024045894.0,Rådyr,1580.0,11332.075,9,0.0006970260223048327
1024046316.0,Rådyr,1900.0,2415.595,3,0.0006950880444856349
1024046204.0,Rådyr,1500.0,2843.4,3,0.000690766751093714
1024045748.0,Rådyr,2040.0,11100.656,9,0.0006848793851305076
1024045835.0,Rådyr,550.0,3892.233,3,0.0006753714542998649
1024046182.0,Elg,300.0,1191.873,1,0.0006702412868632708
1024046664.0,Rådyr,500.0,6970.219,5,0.0006693440428380187
1024045793.0,Rådyr,1900.0,1089.594,2,0.0006688963210702341
1024046441.0,Rådyr,233.0,5798.499,4,0.000663239927043608
1024046940.0,Rådyr,727.0,3805.883,3,0.0006618133686300463
1024046203.0,Rådyr,729.0,5411.621,4,0.0006513597134017262
1024046656.0,Rådyr,163.0,1379.239,1,0.0006485084306095979
1024047170.0,Rådyr,2100.0,2528.61,3,0.0006480881399870382
1024046726.0,Rådyr,920.0,12989.388,9,0.0006470630526996909
1024047074.0,Rådyr,160.0,1385.588,1,0.000646830530401035
1024045967.0,Rådyr,950.0,3693.449,3,0.0006461339651087659
1024045572.0,Rådyr,3500.0,4266.991,5,0.0006437491953135058
1024046016.0,Rådyr,1200.0,362.738,1,0.0006397952655150352
1022805852.0,Hjort,2100.0,1037.747,2,0.0006373486297004461
