Dato;År;Kommune;Stedfesting;Art;Kjønn;Alder;Årsak;Utfall;Merkelappnummer;Fallvilt-ID;UTM33 øst;UTM33 nord;vegsystemreferanse.kortform;vegkategori;fase;vegnr;strekning;delstrekning;arm;adskilte_løp;trafikantgruppe;retning;meter;veglenkesekvensid;relativPosisjon;veglenkesekvens.kortform;geometri.wkt;geometri.srid;kommune (treff);avstand_vegnettet_m;Vegobjekt_540_id;ÅDT, total;Vegobjekt_105_id;Fartsgrense;Vegobjekt_540_lengde;snow_depth;max_temperature;min_temperature;mean_temperature;total_precipitation;max_wind_speed;mean_wind_speed;max_wind_gust;precipitation_type;weather_station_id;Måned;monthly_snow_depth;monthly_mean_temperature;monthly_mean_wind_speed
2026-01-25;2026;5037 Levanger;Jønnvik;Rådyr;Hann;Voksent dyr;Påkjørt av motorkjøretøy;Dødt på stedet;;1332787;306248,7342;7079234,732;FV6890 S2D1 m3134;F;V;6890.0;2.0;1.0;False;Nei;K;MED;3134.409;578334.0;0.35215505;0.35215505@578334;POINT Z (306243.962 7079238.548 60.742);5973.0;5037.0;6.11;1024046009.0;550.0;86973272.0;80.0;6225.395;;-7 degC;-13.9 degC;-7.4;0 mm;2.7 m/s;1.5;6.7 m/s;;SN71000;1;4.0;-8.3125;1.25
2026-01-24;2026;5037 Levanger;Rabben;Rådyr;Hann;Voksent dyr;Påkjørt av motorkjøretøy;Dødt på stedet;;1332741;305684,293;7077884,819;FV6890 S2D1 m1533;F;V;6890.0;2.0;1.0;False;Nei;K;MED;1532.948;578334.0;0.08601504;0.08601504@578334;POINT Z (305682.978 7077886.006 43.822);5973.0;5037.0;1.772;1024046009.0;550.0;131494738.0;60.0;6225.395;;;;-7.8;;;;;;SN69640;1;4.0;-8.3125;1.25
2026-01-24;2026;5053 Inderøy;Kjerringvik;Rådyr;Hann;Kalv/årsunge;Påkjørt av motorkjøretøy;Dødt på stedet;;1332722;306654,1012;7085045,68;FV6918 S1D1 m105;F;V;6918.0;1.0;1.0;False;Nei;K;MED;104.71;578357.0;0.01066284;0.01066284@578357;POINT Z (306648.619 7085047.854 19.213);5973.0;5053.0;5.898;1024046955.0;300.0;173087350.0;80.0;8196.302;;;;-7.8;;;;;;SN69640;1;;-7.341666666666666;
2026-01-25;2026;5037 Levanger;Holte, ronglan;Rådyr;Hunn;Voksent dyr;Påkjørt av motorkjøretøy;Dødt på stedet;;1332920;308114,2538;7067114,226;EV6 S84D1 m1347;E;V;6.0;84.0;1.0;False;Nei;K;MED;1347.195;1742829.0;0.58901451;0.58901451@1742829;POINT Z (308114.421 7067113.723 43.308);5973.0;5037.0;0.53;1022805904.0;8480.0;905755262.0;90.0;3884.691;;;;-10.8;;;;;;SN69640;1;4.0;-8.3125;1.25
2026-01-23;2026;5001 Trondheim;Nygården/Brøttemsvegen;Rådyr;Ukjent;Ukjent;Påkjørt av motorkjøretøy;Ettersøk avsluttet - ikke funnet;;1332645;271472,9806;7023883,249;FV704 S3D1 m1291;F;V;704.0;3.0;1.0;False;Nei;K;MED;1291.184;72300.0;0.02610063;0.02610063@72300;POINT Z (271473.953 7023880.894 152.825);5973.0;5001.0;2.548;1024046089.0;1700.0;85312317.0;80.0;2609.554;;;;-4.0;;;;;;SN67153;1;17.0;-6.053333333333333;
2026-01-23;2026;5054 Indre Fosen;Råkvågveien;Oter;Ukjent;Ukjent;Påkjørt av motorkjøretøy;Dødt på stedet;;1332656;259481,7986;7078630,958;FV6362 S1D1 m704;F;V;6362.0;1.0;1.0;False;Nei;K;MED;703.769;72443.0;0.11205559;0.11205559@72443;POINT Z (259480.516 7078635.931 3.49);5973.0;5054.0;5.136;1024046653.0;280.0;85311385.0;50.0;3714.52;0.0;-0.3 degC;-3.6 degC;-0.7;0 mm;16.2 m/s;12.2;21.9 m/s;;SN71550;1;0.0;-3.0142857142857142;4.709090909090909
2026-01-22;2026;5001 Trondheim;Osloveien ;Rådyr;Ukjent;Ukjent;Påkjørt av motorkjøretøy;Ettersøk avsluttet - ikke funnet;;1332625;269824,0768;7038940,349;KV6683 S1D1 m53;K;V;6683.0;1.0;1.0;False;Nei;K;MED;52.691;42452.0;0.12640102;0.12640102@42452;POINT Z (269771.3 7038943.5 8.938);5973.0;5001.0;52.871;;;85282196.0;30.0;;;;;-0.6;;;;;;SN67153;1;17.0;-6.053333333333333;
2026-01-26;2026;5006 Steinkjer;4- Eggemarka ;Rådyr;Hunn;Voksent dyr;Påkjørt av motorkjøretøy;Avlivet på stedet;;1332936;327239,9604;7104363,098;FV6982 S1D1 m1053;F;V;6982.0;1.0;1.0;False;Nei;K;MED;1053.197;578707.0;0.11027874;0.11027874@578707;POINT Z (327241.062 7104358.201 26.721);5973.0;5006.0;5.019;1024045637.0;1000.0;339629881.0;60.0;10607.455;;-6.4 degC;-15.5 degC;-12.3;0 mm;2.8 m/s;1.5;4.8 m/s;;SN71000;1;11.928571428571429;-7.045;1.5
2026-01-27;2026;5057 Ørland;Kottengsvatnet, Bjugn;Hjort;Ukjent;Ungdyr;Påkjørt av motorkjøretøy;Observert – antatt uskadd;;1333031;240688,8422;7082914,896;FV721 S1D1 m4373;F;V;721.0;1.0;1.0;False;Nei;K;MED;4373.102;72389.0;0.45389004;0.45389004@72389;POINT Z (240694.793 7082920.732 35.115);5973.0;5057.0;8.335;1024045604.0;1440.0;85311522.0;80.0;5634.106;0.0;-3.7 degC;-6.5 degC;-5.0;0 mm;8.4 m/s;6.4;11.2 m/s;;SN71550;1;1.2857142857142858;-1.9571428571428573;8.685714285714287
2026-01-22;2026;5006 Steinkjer;1- Oksur;Rådyr;Hunn;Ungdyr;Påkjørt av motorkjøretøy;Avlivet etter ettersøk;;1333043;326623,1054;7099397,672;FV6956 S1D1 m2715;F;V;6956.0;1.0;1.0;False;Nei;K;MED;2714.513;578393.0;0.35223435;0.35223435@578393;POINT Z (326592.305 7099441.758 128.541);5973.0;5006.0;53.779;1024046660.0;499.0;1014063347.0;80.0;4470.143;;;;-3.9;;;;;;SN69640;1;11.928571428571429;-7.045;1.5
2026-01-24;2026;5028 Melhus;Jaktøyen;Rådyr;Hunn;Voksent dyr;Påkjørt av motorkjøretøy;Avlivet på stedet;;1332727;263855,7178;7027684,112;EV6 S72D1 m7242;E;V;6.0;72.0;1.0;False;Nei;K;MED;7241.625;72153.0;0.39102132;0.39102132@72153;POINT Z (263853.681 7027685.023 13.141);5973.0;5028.0;2.231;1022805893.0;16500.0;1015770884.0;90.0;946.617;;;;-6.5;;;;;;SN67153;1;27.4;-9.95;
2026-01-25;2026;5041 Snåsa;Brennmyra;Rådyr;Hann;Ungdyr;Påkjørt av motorkjøretøy;Dødt på stedet;;1332805;369108,2489;7124790,689;FV763 S6D1 m4596;F;V;763.0;6.0;1.0;False;Nei;K;MED;4596.323;578667.0;0.18042797;0.18042797@578667;POINT Z (369101.133 7124791.924 66.068);5973.0;5041.0;7.222;1024045938.0;550.0;86975634.0;80.0;7497.874;12.0;;;;0 mm;;;;;SN70930;1;27.0;;
