Vegobjekt_540_id,Art,årstid,lysforhold,"ÅDT, total_avg",Vegobjekt_540_lengde_avg,UTM_nord_int_avg,UTM33_øst_int_avg,antall_kollisjoner,frekvens,årsrisiko,samanlikning_yrke
1024046955.0,Rådyr,haust,natt,300,8196,7089988,304510,2,0.0026742079330378333,0.401131189955675,>10x høgare risiko enn høgrisikoyrke
1024045843.0,Rådyr,haust,natt,220,11420,7107560,316382,4,0.005234311786143468,0.7851467679215203,>10x høgare risiko enn høgrisikoyrke
1024046292.0,Elg,haust,natt,2310,6616,7124792,316283,2,0.00043024011485690104,0.06453601722853515,>2x høgare risiko enn høgrisikoyrke
1024045666.0,Rådyr,haust,skumring,2160,6340,7054356,260750,3,0.0007202224046785647,0.10803336070178471,>5x høgare risiko enn høgrisikoyrke
1022805754.0,Elg,haust,natt,4400,13248,6959035,238276,3,0.00016920244734419838,0.025380367101629758,1-2x høgare risiko enn høyrisikoyrke
1022805567.0,Elg,haust,natt,2700,8321,7147839,370537,3,0.0004390058931053576,0.06585088396580364,>2x høgare risiko enn høgrisikoyrke
1024047044.0,Elg,haust,skumring,3800,3671,7110583,328379,4,0.0009427149444082961,0.1414072416612444,>5x høgare risiko enn høgrisikoyrke
1024045639.0,Elg,haust,natt,770,24849,7203356,349798,2,0.00034365188939916184,0.05154778340987427,>2x høgare risiko enn høgrisikoyrke
1024047173.0,Rådyr,haust,natt,2350,1726,7155051,330972,2,0.001621099693240656,0.24316495398609841,>10x høgare risiko enn høgrisikoyrke
1022805754.0,Rådyr,haust,natt,4400,13248,6957839,236717,6,0.00033840489468839677,0.050760734203259515,>2x høgare risiko enn høgrisikoyrke
1024046552.0,Rådyr,haust,natt,2890,2071,7097748,321473,2,0.0010986021272095664,0.16479031908143496,>5x høgare risiko enn høgrisikoyrke
1024046378.0,Rådyr,haust,natt,479,7560,7205990,313718,2,0.0018157709695445275,0.2723656454316791,>10x høgare risiko enn høgrisikoyrke
1024046601.0,Rådyr,haust,natt,1720,13505,7073889,264700,2,0.00028307097568314166,0.04246064635247125,>2x høgare risiko enn høgrisikoyrke
1024046601.0,Elg,haust,natt,1720,13505,7075890,264941,2,0.00028307097568314166,0.04246064635247125,>2x høgare risiko enn høgrisikoyrke
1024046552.0,Elg,haust,natt,2890,2071,7097829,321591,2,0.0010986021272095664,0.16479031908143496,>5x høgare risiko enn høgrisikoyrke
1024046234.0,Hjort,haust,natt,1300,2735,7043110,199270,2,0.0018493439644925959,0.27740159467388936,>10x høgare risiko enn høgrisikoyrke
1024045777.0,Rådyr,haust,skumring,300,7657,7104789,278758,2,0.002862453731118987,0.4293680596678481,>10x høgare risiko enn høgrisikoyrke
1024046694.0,Hjort,haust,skumring,338,29036,7037189,214186,3,0.0010049770595561577,0.15074655893342367,>5x høgare risiko enn høgrisikoyrke
1024045894.0,Rådyr,haust,skumring,1580,11332,7029334,201325,4,0.0007344880260395591,0.11017320390593387,>5x høgare risiko enn høgrisikoyrke
1022805677.0,Rådyr,haust,natt,3590,8567,6948911,225223,5,0.0005344845679584635,0.08017268519376952,>2x høgare risiko enn høgrisikoyrke
1024046468.0,Elg,haust,natt,411,27522,7178386,329910,2,0.0005812949698417267,0.087194245476259,>2x høgare risiko enn høgrisikoyrke
1024047066.0,Rådyr,haust,skumring,2310,3619,7043889,259936,3,0.0011798018512959067,0.176970277694386,>5x høgare risiko enn høgrisikoyrke
1024045953.0,Elg,haust,natt,883,14631,7163640,332264,2,0.0005089600135978847,0.0763440020396827,>2x høgare risiko enn høgrisikoyrke
1022805435.0,Elg,haust,natt,2410,12050,7139976,371508,4,0.0004528394804327353,0.0679259220649103,>2x høgare risiko enn høgrisikoyrke
1024045720.0,Rådyr,haust,skumring,500,5676,7164442,321142,2,0.0023168930464247442,0.34753395696371164,>10x høgare risiko enn høgrisikoyrke
1022805470.0,Rådyr,haust,natt,7070,4799,7043414,299954,6,0.0005813925578336916,0.08720888367505374,>2x høgare risiko enn høgrisikoyrke
1024046670.0,Rådyr,haust,natt,355,18427,7074821,252976,3,0.0015077406620307061,0.22616109930460593,>10x høgare risiko enn høgrisikoyrke
1024046069.0,Rådyr,haust,natt,550,4317,7076874,245441,3,0.004153984753145129,0.6230977129717694,>10x høgare risiko enn høgrisikoyrke
1024045852.0,Rådyr,haust,natt,2200,6091,7033109,260713,3,0.000736034812811013,0.11040522192165196,>5x høgare risiko enn høgrisikoyrke
1024045491.0,Rådyr,haust,natt,1300,10467,7103738,260328,2,0.000483228789804839,0.07248431847072585,>2x høgare risiko enn høgrisikoyrke
1024045748.0,Rådyr,haust,natt,2040,11101,7082250,247799,3,0.0004355292889454464,0.06532939334181696,>2x høgare risiko enn høgrisikoyrke
1022805621.0,Rådyr,haust,natt,4980,4610,6954469,231779,3,0.0004296149325558258,0.06444223988337387,>2x høgare risiko enn høgrisikoyrke
1024046601.0,Elg,haust,skumring,1720,13505,7074755,265045,2,0.00028307097568314166,0.04246064635247125,>2x høgare risiko enn høgrisikoyrke
1024046111.0,Elg,haust,natt,300,18388,7028934,290261,2,0.001191962596213731,0.17879438943205964,>5x høgare risiko enn høgrisikoyrke
1024046937.0,Elg,haust,natt,1200,5986,7024001,259387,3,0.0013730668363167023,0.20596002544750536,>5x høgare risiko enn høgrisikoyrke
1024046488.0,Elg,haust,natt,3200,4965,7035643,301572,2,0.00041385589537722964,0.062078384306584446,>2x høgare risiko enn høgrisikoyrke
1024046631.0,Elg,haust,skumring,700,17819,7145227,317115,3,0.00079073009537413,0.1186095143061195,>5x høgare risiko enn høgrisikoyrke
1024046936.0,Rådyr,haust,natt,175,5832,7206552,308980,3,0.009663936604575873,1.449590490686381,>10x høgare risiko enn høgrisikoyrke
1024046631.0,Rådyr,haust,natt,700,17819,7142994,316576,2,0.0005271533969160867,0.07907300953741302,>2x høgare risiko enn høgrisikoyrke
1024046321.0,Elg,haust,natt,1100,4553,7103812,334212,2,0.0013128890972492512,0.1969333645873877,>5x høgare risiko enn høgrisikoyrke
1022805783.0,Elg,haust,natt,1830,15372,7032273,343072,3,0.00035061312593865707,0.05259196889079856,>2x høgare risiko enn høgrisikoyrke
1024045835.0,Rådyr,haust,natt,550,3892,7084636,306156,2,0.0030717287049207816,0.46075930573811724,>10x høgare risiko enn høgrisikoyrke
1024045551.0,Elg,haust,natt,877,20271,7197686,378472,2,0.00036986531842189555,0.055479797763284336,>2x høgare risiko enn høgrisikoyrke
1024046131.0,Rådyr,haust,natt,1500,4662,7052490,248363,4,0.0018805498257553053,0.28208247386329577,>10x høgare risiko enn høgrisikoyrke
1022805428.0,Rådyr,haust,natt,2100,5896,7114892,334767,3,0.0007965863619104265,0.11948795428656397,>5x høgare risiko enn høgrisikoyrke
1024046542.0,Hjort,haust,natt,2230,10163,6996100,265328,2,0.00029012929896293224,0.043519394844439833,>2x høgare risiko enn høgrisikoyrke
1024046459.0,Rådyr,haust,natt,2200,2804,7094962,319433,2,0.0010659030063794295,0.15988545095691442,>5x høgare risiko enn høgrisikoyrke
